"номер","община","име","от автогара","до автогара","разстояние","тръгва","пристига","връщане/тръгва","връщане/пристига","Брой междинни спирки","Изпълнява се"
"number","munucipal","name","from_station","to_station","length","departure","arrival","return_departure","return_arrival","intermediate_stops","Information"
"4102","Гоце Делчев","Гоце Делчев-Балдево","Гоце Делчев","Балдево","17","12.1","12.45","12.5","13.25","2",""
"4103","Гоце Делчев","Гоце Делчев-Балдево","Гоце Делчев","Балдево","17","13.3","14.05","14.1","14.45","2",""
"4104","Гоце Делчев","Гоце Делчев-Балдево","Гоце Делчев","Балдево","17","18.1","18.45","18.5","19.24","2",""
"4102","Гоце Делчев","Гоце Делчев-Ваклиново","Гоце Делчев","Ваклиново","41","7","8.2","8.3","9.45","8",""
"4103","Гоце Делчев","Гоце Делчев-Ваклиново","Гоце Делчев","Ваклиново","41","11.3","12.5","13.3","14.47","8",""
"4101","Гоце Делчев","Гоце Делчев-Огняновски бани","Гоце Делчев","Огняновски бани","16","6.4","7.12","7.3","8.02","3",""
"4102","Гоце Делчев","Гоце Делчев-Огняновски бани","Гоце Делчев","Огняновски бани","16","8.5","9.22","9.3","10.02","3",""
"4103","Гоце Делчев","Гоце Делчев-Огняновски бани","Гоце Делчев","Огняновски бани","16","10.5","11.22","11.3","12.02","3",""
"4104","Гоце Делчев","Гоце Делчев-Огняновски бани","Гоце Делчев","Огняновски бани","16","15","15.32","15.4","16.02","3",""
"4105","Гоце Делчев","Гоце Делчев-Огняновски бани","Гоце Делчев","Огняновски бани","16","16.5","17.22","17.3","18.02","3",""
"4106","Гоце Делчев","Гоце Делчев-Огняновски бани","Гоце Делчев","Огняновски бани","16","19","19.32","19.4","20.12","3",""
"4101","Гоце Делчев","Гоце Делчев-Петрелик","Гоце Делчев","Петрелик","20","8.2","9","9.05","9.45","4",""
"4102","Гоце Делчев","Гоце Делчев-Петрелик","Гоце Делчев","Петрелик","20","13","13.4","13.45","14.25","4",""
"4103","Гоце Делчев","Гоце Делчев-Петрелик","Гоце Делчев","Петрелик","20","18","18.4","18.4","19.25","4",""
"4103","Гоце Делчев","Гоце Делчев-Хаджидимово","Гоце Делчев","Хаджидимово","16","16.3","17","17.1","17.4","3",""
"4104","Гоце Делчев","Гоце Делчев-Хаджидимово","Гоце Делчев","Хаджидимово","16","11","11.3","11.35","12.05","3",""
"5101","Гърмен","Гоце Делчев-Дебрен","Дебрен","Гоце Делчев","11","7.2","7.4","17","17.2","2",""
"5102","Гърмен","Гоце Делчев-Дебрен","Дебрен","Гоце Делчев","11","9","9.2","12","12.2","2",""
"5201","Гърмен","Гоце Делчев-Дебрен","Дебрен","Гоце Делчев","11","8.3","8.5","11.3","11.5","2","в понеделник и петък"
"5101","Гърмен","Гоце Делчев-Ковачевица","Гоце Делчев","Ковачевица","26","6","6.45","7","7.45","4",""
"5102","Гърмен","Гоце Делчев-Ковачевица","Гоце Делчев","Ковачевица","26","17","17.45","18","18.45","4",""
"5201","Гърмен","Гоце Делчев-Ковачевица","Гоце Делчев","Ковачевица","26","13.3","14.18","14.2","15.08","3",""
"5101","Гърмен","Гоце Делчев-Ореше","Гоце Делчев","Ореше","30","5","6.09","6.15","7.22","5",""
"5102","Гърмен","Гоце Делчев-Ореше","Гоце Делчев","Ореше","30","17.1","18.18","18.2","19.28","5",""
"5201","Гърмен","Гоце Делчев-Ореше","Ореше","Гоце Делчев","30","7.35","9","16.3","17.45","5","в понеделник и петък"
"5101","Гърмен","Гоце Делчев-Рибново","Гоце Делчев","Рибново","31","6","7.15","7.3","8.35","5","без събота и неделя"
"5103","Гърмен","Гоце Делчев-Рибново","Гоце Делчев","Рибново","31","16.4","17.4","18.05","18.54","5",""
"5101","Гърмен","Гоце Делчев-Хвостяне","Гоце Делчев","Хвостяне","17","8.15","8.53","9.1","9.49","3",""
"5103","Гърмен","Гоце Делчев-Хвостяне","Гоце Делчев","Хвостяне","17","15.15","15.53","16.12","16.5","3","без събота и неделя"
"5104","Гърмен","Гоце Делчев-Хвостяне","Гоце Делчев","Хвостяне","17","11.3","12.05","12.1","12.45","3",""
"5301","Гърмен","Гоце Делчев-Хвостяне","Гоце Делчев","Хвостяне","17","6.5","7.3","7.3","8.1","3",""
"5402","Гърмен","Гоце Делчев-Хвостяне","Гоце Делчев","Хвостяне","17","13.3","14.06","14.1","14.5","2","без събота и неделя"
"5403","Гърмен","Гоце Делчев-Хвостяне","Гоце Делчев","Хвостяне","17","16.5","17.27","17.3","18.07","2",""
"6101","Кресна","Благоевград-Кресна","Кресна","Благоевград","41","8.5","9.3","10.3","11.1","1",""
